STATE/UT,DISTRICT,YEAR,RAPE
KARNATAKA,BAGALKOT,2002,4
KARNATAKA,BAGALKOT,2003,12
KARNATAKA,BAGALKOT,2004,3
KARNATAKA,BAGALKOT,2005,4
KARNATAKA,BAGALKOT,2006,12
KARNATAKA,BAGALKOT,2007,4
KARNATAKA,BAGALKOT,2008,2
KARNATAKA,BAGALKOT,2009,8
KARNATAKA,BAGALKOT,2010,9
KARNATAKA,BAGALKOT,2011,15
KARNATAKA,BAGALKOT,2012,11
UTTARAKHAND,BAGESHWAR,2001,1
UTTARAKHAND,BAGESHWAR,2002,5
UTTARAKHAND,BAGESHWAR,2003,4
UTTARAKHAND,BAGESHWAR,2004,5
UTTARAKHAND,BAGESHWAR,2005,7
UTTARAKHAND,BAGESHWAR,2006,4
UTTARAKHAND,BAGESHWAR,2007,3
UTTARAKHAND,BAGESHWAR,2008,2
UTTARAKHAND,BAGESHWAR,2009,3
UTTARAKHAND,BAGESHWAR,2010,2
UTTARAKHAND,BAGESHWAR,2011,2
UTTARAKHAND,BAGESHWAR,2012,8
UTTAR PRADESH,BAGHPAT,2001,15
UTTAR PRADESH,BAGHPAT,2002,15
UTTAR PRADESH,BAGHPAT,2003,12
UTTAR PRADESH,BAGHPAT,2004,11
UTTAR PRADESH,BAGHPAT,2005,13
UTTAR PRADESH,BAGHPAT,2006,12
UTTAR PRADESH,BAGHPAT,2007,17
UTTAR PRADESH,BAGHPAT,2008,19
UTTAR PRADESH,BAGHPAT,2009,15
UTTAR PRADESH,BAGHPAT,2010,14
UTTAR PRADESH,BAGHPAT,2011,12
UTTAR PRADESH,BAGHPAT,2012,18
UTTAR PRADESH,BAHRAICH,2001,14
UTTAR PRADESH,BAHRAICH,2002,14
UTTAR PRADESH,BAHRAICH,2003,5
UTTAR PRADESH,BAHRAICH,2004,16
UTTAR PRADESH,BAHRAICH,2005,25
UTTAR PRADESH,BAHRAICH,2006,21
UTTAR PRADESH,BAHRAICH,2007,34
UTTAR PRADESH,BAHRAICH,2008,24
UTTAR PRADESH,BAHRAICH,2009,38
UTTAR PRADESH,BAHRAICH,2010,25
UTTAR PRADESH,BAHRAICH,2011,57
UTTAR PRADESH,BAHRAICH,2012,27
ASSAM,BAKSA,2012,33
MADHYA PRADESH,BALAGHAT,2001,87
MADHYA PRADESH,BALAGHAT,2002,87
MADHYA PRADESH,BALAGHAT,2003,61
MADHYA PRADESH,BALAGHAT,2004,86
MADHYA PRADESH,BALAGHAT,2005,58
MADHYA PRADESH,BALAGHAT,2006,67
MADHYA PRADESH,BALAGHAT,2007,53
MADHYA PRADESH,BALAGHAT,2008,61
MADHYA PRADESH,BALAGHAT,2009,62
MADHYA PRADESH,BALAGHAT,2010,52
MADHYA PRADESH,BALAGHAT,2011,55
MADHYA PRADESH,BALAGHAT,2012,78
ODISHA,BALASORE,2001,58
ODISHA,BALASORE,2002,47
ODISHA,BALASORE,2003,49
ODISHA,BALASORE,2004,44
ODISHA,BALASORE,2005,43
ODISHA,BALASORE,2006,59
ODISHA,BALASORE,2007,55
ODISHA,BALASORE,2008,50
ODISHA,BALASORE,2009,46
ODISHA,BALASORE,2010,48
ODISHA,BALASORE,2011,75
ODISHA,BALASORE,2012,87
UTTAR PRADESH,BALLIA,2001,18
UTTAR PRADESH,BALLIA,2002,7
UTTAR PRADESH,BALLIA,2003,2
UTTAR PRADESH,BALLIA,2004,6
UTTAR PRADESH,BALLIA,2005,2
UTTAR PRADESH,BALLIA,2006,10
UTTAR PRADESH,BALLIA,2007,10
UTTAR PRADESH,BALLIA,2008,12
UTTAR PRADESH,BALLIA,2009,9
UTTAR PRADESH,BALLIA,2010,4
UTTAR PRADESH,BALLIA,2011,7
UTTAR PRADESH,BALLIA,2012,12
CHHATTISGARH,BALOD,2012,22
CHHATTISGARH,BALODA BAZAR,2012,45
CHHATTISGARH,BALRAMPUR,2001,17
CHHATTISGARH,BALRAMPUR,2002,30
CHHATTISGARH,BALRAMPUR,2003,24
CHHATTISGARH,BALRAMPUR,2004,27
CHHATTISGARH,BALRAMPUR,2005,36
CHHATTISGARH,BALRAMPUR,2006,45
CHHATTISGARH,BALRAMPUR,2007,46
CHHATTISGARH,BALRAMPUR,2008,41
CHHATTISGARH,BALRAMPUR,2009,43
CHHATTISGARH,BALRAMPUR,2010,61
CHHATTISGARH,BALRAMPUR,2011,55
CHHATTISGARH,BALRAMPUR,2012,64
UTTAR PRADESH,BALRAMPUR,2001,8
UTTAR PRADESH,BALRAMPUR,2002,13
UTTAR PRADESH,BALRAMPUR,2003,3
UTTAR PRADESH,BALRAMPUR,2004,5
UTTAR PRADESH,BALRAMPUR,2005,6
UTTAR PRADESH,BALRAMPUR,2006,8
UTTAR PRADESH,BALRAMPUR,2007,10
UTTAR PRADESH,BALRAMPUR,2008,12
UTTAR PRADESH,BALRAMPUR,2009,8
